years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1978,-0.874752707,1.2401183,0.165992039,-0.212239093,-2.105654138,-1.624855342,0.154471377,-0.264372611,1.400115361,-0.481422519,-0.095438773,-0.489180748,-0.151286167,-0.2090172,-1.340726105,-0.919575111
1979,-0.151312117,-1.942161969,0.481350568,-0.658072019,-0.460559387,-0.074908761,1.720999648,1.202582136,0.051644063,1.304431842,2.764703353,-0.327394263,0.192515742,-0.488820617,-0.735127804,1.222029793
1980,0.68468234,-0.455746654,0.142132784,0.973235017,-0.296737908,1.724187733,1.879755305,-1.106112892,-0.301410414,0.949045558,-0.782746148,-0.276947669,1.966132537,-0.484201198,-1.729522034,-0.604206068
1981,1.034183426,-0.44433789,-0.128992604,1.164857277,-0.449851641,-1.181602442,0.813539985,-0.142936835,0.675882211,1.595543128,0.48112839,-0.523674623,0.949021378,-0.576288877,-0.100713503,-0.155779941
1982,1.907107391,-0.143015241,-0.08864932,1.439698653,0.734596729,1.362717374,-0.135656306,0.884316718,-0.246450858,0.181319356,1.362361212,-0.956428776,0.637713995,1.271191458,0.48919282,0.126239996
1983,1.399699818,0.229813476,0.255689309,0.049741335,-1.239218495,0.861550122,-0.291044498,0.083155243,3.111097569,1.063504798,1.199000739,-1.228219149,1.247596888,-0.615244021,0.607958087,0.198691915
1984,1.803674159,0.470437537,-0.952651008,1.045679393,0.52818047,-0.214656075,-2.17356902,0.51945228,0.389916092,1.157201349,-0.02663993,1.178765041,1.255069382,0.6802321,-0.245230888,2.518712107
1985,1.741049631,-1.06162064,0.281551326,-0.267757474,-1.644992929,-0.594497811,-0.940902791,-0.004869234,0.196131428,-0.666666566,-1.894634339,-1.286524816,1.149503691,-0.820243242,1.636072708,-0.313699021
1986,-1.621467215,0.173190211,-1.238505165,-1.593668674,1.322794527,-0.684559126,-0.501825147,-1.361536573,-0.41322953,-1.750251159,1.900822551,1.604238182,-1.385754111,-1.497453654,0.023728459,-0.249941334
1987,0.248431371,0.362702263,0.291834317,-0.301470531,0.661464094,-0.95484682,0.646611861,-0.306730097,-0.701213496,1.067792095,2.071941262,0.771889641,0.813650499,-1.582875396,-0.797144819,0.185447066
1988,-1.064662568,0.647648765,1.175112239,-1.699182651,-0.936448218,-0.344389016,-1.462751755,-1.56225049,-0.029881828,-0.95979118,-0.768540059,0.236214329,0.344561649,-0.182093881,-0.400374176,-0.469412634
1989,0.122104391,-1.461724883,0.620391626,0.634185204,-1.35195702,-1.293398633,-0.441487641,-0.429139869,0.290496965,1.160241211,0.868756018,-0.321474528,-0.16148834,1.563357319,-0.789580848,0.51711573
1990,0.000283703,-0.961497341,-0.498121299,1.53591275,-1.466719523,0.998632248,-2.242543773,-0.311424566,-0.633405225,-1.698212046,0.031888809,1.873111334,-0.232762951,1.932252875,-1.64157858,1.495488661
1991,0.772936829,-0.143325252,-1.437971896,1.232202426,-0.373243406,-0.586566587,0.181667703,-0.704386928,0.094667034,-0.006280274,0.489216014,-0.378314768,-0.328068136,-1.010811226,-2.326239055,2.497063212
1992,0.627019751,-1.613290628,-0.20418356,-1.373648196,0.50335144,-2.245637693,-0.329711926,0.128569704,-2.358873586,-1.243621479,-0.407615214,0.804723516,-1.110844531,2.068376404,0.141944034,-0.950331085
1993,1.233539081,0.782633866,1.271507123,0.167408241,-1.451360413,1.456853445,1.221325371,-0.042988816,-0.059558942,-0.223420489,0.417568597,0.393568542,-0.566909711,-0.125515154,-1.513300842,-0.725164427
1994,-0.521387416,-0.499729528,-0.423657452,1.086914469,-0.049739975,1.22303971,0.389914157,2.142580818,-0.462643753,-0.598225707,0.671375483,-0.887159723,-0.22157079,-1.08613414,0.076747108,-0.613828494
1995,-0.055572824,-0.249954447,1.331286415,1.05859737,1.873079436,-0.422200965,-0.743251516,-0.53036899,0.985912084,0.1579418,-0.175028998,0.508162114,-0.657623775,-1.129973891,-0.814558653,-1.108443171
1996,-0.528244129,1.06055948,2.191298607,-1.573016237,-0.8005217,-2.312708516,0.881538454,-1.504372493,0.063540225,-0.439007848,2.140829659,0.283361173,-0.711014794,0.264970458,-2.088866017,0.580281953
1997,0.260968725,0.83627038,0.574320493,2.060295072,1.922791302,1.293475699,0.859208984,0.36506385,0.607395023,0.512724897,1.01756339,-0.493351169,-0.063449765,-0.652736232,-1.783576875,-0.052461996
1998,-0.629177104,0.660496604,1.517013525,0.783987204,0.992352128,0.529109463,0.458965692,-1.077855467,-0.774401804,0.367382437,-0.04375356,-1.079425599,0.846275004,0.946920696,-0.049581947,-0.202949023
1999,1.353807198,-0.074389172,-0.804026763,0.097240635,0.4087044,0.339461094,-1.466733572,-1.544868867,-1.760017864,-0.63249799,-0.221991289,-0.397207631,-0.560690597,0.764323904,-0.312939284,0.202238496
2000,-0.754486589,-2.994402306,1.546926622,0.597090351,-0.210588614,-0.527114511,0.17563194,-0.894715942,0.489993234,0.072558629,-1.025153629,0.19047268,-0.465871405,-0.535234703,-0.775069219,0.014133927
2001,-1.298168659,-0.799616403,0.611455348,0.836249562,-0.97559453,-2.298279512,-0.234285418,-0.426640795,-0.031222595,3.029351786,0.081539569,-0.350485926,-0.114822544,-1.401293369,0.112821167,0.822963308
2002,-0.120390142,-0.726859376,-0.19462706,0.587993251,-0.09750097,1.526476439,0.686558254,1.09659721,1.506242093,-1.186502433,0.746473182,1.244145563,-1.222564588,-0.147168047,0.154179004,-0.062154517
2003,-0.42106267,-0.36830953,-0.165503543,0.523549799,0.515457747,1.806089529,-1.073405599,0.690985483,0.892178341,-2.097520149,-1.20298768,-0.807413818,0.709529843,-0.920883108,-1.172946609,0.231357934
2004,1.943783858,-0.544977418,0.560051733,-0.706116874,0.551111372,0.203721828,-1.802571085,-0.153691553,-0.977622562,0.274702881,1.090090014,0.480797999,-0.57278607,-0.529660997,-2.175521337,0.90583846
2005,-0.340536115,-1.560889926,0.584017198,0.25610733,-0.288570297,-1.464217499,0.04662587,-0.221130995,-1.179683576,1.269084637,-0.221165412,0.487924331,-2.018677545,-0.197685178,0.991176877,0.271791205
2006,-1.162598132,0.172188125,1.099178776,-1.499580424,-0.044697871,0.262586257,-2.948873017,1.235330005,1.847776735,2.968073037,2.191831489,-0.332895524,0.682094872,-0.672444934,0.136764689,-1.060623949
2007,-0.145642879,-1.421026751,0.330281421,-0.953479506,-0.27249983,-0.519512076,1.535571867,-1.103678888,0.500506657,0.169692773,-0.998586977,0.22809256,0.689559368,-0.981250644,-1.604283835,1.221256501
2008,1.496833533,-1.326682942,-1.184564975,-0.790252929,0.073081537,-1.624235338,0.23791579,-1.20168911,-0.037854873,-1.150882423,-1.464791039,0.644954616,1.305683213,-0.087554195,-1.305822077,0.544163909
2009,0.931215084,-0.620849108,-0.790047333,-1.030869153,0.781491424,-1.531259694,-2.056912779,0.201996213,0.988721579,-0.014732165,0.997411396,-1.043389162,0.812668919,0.759597001,0.690676513,0.75057611
2010,-0.971118733,0.307786999,-0.440460413,1.499131725,-1.017294817,0.151659363,-0.457672972,0.946695762,-0.924261496,-0.589067912,-1.002491622,1.474567822,0.388560289,-0.414515569,0.081755838,1.000041447
2011,-1.377733349,-0.100833146,-0.402095305,-2.119696105,-0.605052184,0.683784497,-0.704227512,-0.094150041,1.283332984,0.387618586,-1.186758564,-0.474553053,1.812772675,-1.671025414,0.4597577,0.549792178
2012,-0.242575236,-0.655533882,0.931842999,0.467612814,-0.815536206,-0.539707027,-0.701531097,-0.041057455,-0.582458516,0.05612809,-1.250378603,0.140089345,1.266153244,-0.804176289,1.095661944,-1.184773716
2013,-1.553077608,1.450234175,0.032215439,2.690282544,-0.621798867,-0.29929355,1.607020128,-0.573805935,2.324725075,0.634095902,0.182296235,-0.298357539,0.225718194,0.242334783,0.107688432,0.736075504
2014,0.996724949,-0.218607895,0.148331677,-1.258796508,0.236817678,-0.73666586,1.543782445,0.066661519,0.549058253,-0.212464564,-0.938217441,0.892787667,-1.912659517,-0.68256457,-0.052184023,1.105801997
2015,0.42103458,0.05433697,-0.198124118,1.482975948,1.457380553,-1.459843091,0.952541499,-0.174525301,0.597517236,-0.461161464,-0.847855717,0.546057376,-0.205970155,-1.527748733,-1.086649894,-0.410537432
2016,2.422479551,-1.06769155,0.607550413,0.241645196,-0.832881031,1.790984499,-2.058607666,-1.292741066,-0.166169536,-1.222433715,-1.189066189,0.163608902,-1.358704043,-1.333230943,-2.130829259,-0.092017909
2017,0.257172158,0.218825567,-0.874002719,1.039391346,1.014796482,-1.362949176,-0.643986067,0.385980214,0.525041087,-0.177297324,-0.652199862,0.367405975,2.104904925,-1.968288225,-0.463951758,0.265575988
2018,2.109289782,-2.337169305,1.642607845,0.708642415,1.166369487,-0.584477901,1.461499028,-0.431938805,0.347402759,-1.490017613,-0.089501631,-0.282083533,-1.597129263,-1.52975522,-1.257995225,0.511490037
2019,-0.040196072,-1.3895139,1.507200126,-0.181307227,-1.531118587,2.031844253,0.507991139,-0.268022026,-0.296943385,0.751644851,1.093888714,2.158082385,-1.042940564,-0.195479461,-1.192792313,-0.261442768
2020,-0.058303864,-0.982992746,-1.020153765,0.964677291,1.297422162,0.60556052,-1.967465907,-0.31998018,0.52857667,0.71250922,-2.095628958,-0.232704715,-0.33257826,-1.017358293,0.685588681,-0.377617271
2021,1.298719158,1.184125537,0.790232758,-0.784030491,-0.351857084,-1.261067972,-1.110466863,0.332995587,0.782939723,-0.075502703,-0.397868678,-1.167791615,0.155556243,0.133819886,-1.440474934,1.823464454
2022,1.215214891,-0.951309342,1.221511535,0.345600302,4.537885456,-1.329115011,-0.448107017,0.427723742,0.229211696,-0.651341432,-0.159863122,0.991041616,1.25515358,-1.439356879,-1.3418943,0.222321759
2023,0.936000706,0.593723639,-0.949427557,-0.155161069,-0.109028346,-0.316272656,0.699234339,-0.006564049,-0.163845754,0.363574724,-1.167045314,-0.742114355,0.795370543,-0.785005383,-1.147380817,-1.529941858
2024,-0.001713938,-1.798032445,1.812724554,1.166991177,-1.052649393,0.611336452,-0.477513246,0.400216753,2.575887765,0.174187785,0.366572605,-1.79234819,-0.962282995,-0.080753583,0.3427927,1.590847882
2025,-0.162361133,0.36112926,1.390174379,1.139753335,0.012592068,-0.580112434,-0.358539416,0.229783056,0.404044562,-1.186722744,1.984281122,-1.193479473,-0.738014548,0.059194823,1.368328744,-1.221057106
2026,-0.373180567,-1.776324554,-0.495594539,-0.151802002,1.739968732,0.220630822,0.128422407,-0.56418934,0.098068401,-1.886613714,-0.670067813,0.103070366,0.820426194,-1.398025156,-1.728683691,-0.33187016
2027,1.518294383,-0.625274597,0.712180152,0.696450721,1.415774184,1.09431616,3.536398331,0.235685102,-0.7747857,0.825594853,-0.5213047,1.141418858,0.512819441,-0.848378324,-0.944572637,-0.837754716
2028,0.118562757,1.057616611,1.064675709,0.055713113,0.351754039,1.672333693,-0.628998788,0.424096798,-0.13675909,0.391474781,1.26030108,0.456409805,0.702460817,-1.107115829,-0.672894339,-1.090214134
2029,-1.660144946,-0.652598242,-1.373459251,0.831993246,0.467156546,-1.349284013,-0.272201277,0.166672223,1.252269351,-1.24579337,-0.789871168,2.006182469,1.127167499,-0.021359859,0.695099703,3.186578257
2030,0.886562006,-0.680079812,0.180385529,-0.955379484,1.358086129,0.861190675,0.018273831,1.010724206,1.349308189,-0.163738457,2.381221852,0.926318726,1.280257539,-1.498407386,-1.132238084,1.541436552
2031,1.738330804,-0.079196559,1.507676483,-0.966105857,1.286938954,-0.640263286,0.313156272,0.566953879,1.048756132,-0.882434951,1.198420094,1.444845104,-0.588020505,-0.978285144,-1.488106909,-0.527003003
2032,1.02766016,-0.579754838,1.585123882,1.1791273,0.44479723,0.269845342,1.20864173,0.158584312,1.559368139,-0.789015918,0.597778769,-1.247944946,1.573485486,-0.652721005,-1.441621216,-0.293107317
2033,-0.017632722,-1.740186895,-0.67573544,1.911693693,-1.944937571,-0.314096951,1.204342161,0.420607676,-0.393751119,-0.403771856,0.476512904,1.20506601,0.427376519,0.399790404,-0.932062079,-0.682857758
2034,-0.967297377,1.371935627,0.725632888,-1.301746511,-1.669453737,0.015166412,-0.287211113,0.804577544,-0.524180383,2.086021254,-0.196557498,1.534350697,0.208497351,-2.18089664,-2.155860118,-0.216969814
2035,0.534166435,0.616526909,-0.715043141,0.93688162,2.267107855,1.038867871,-0.744991628,1.233529511,0.531314849,0.06064039,-1.589473907,0.833985058,0.658790463,-1.645221413,0.495826992,-1.022640982
2036,1.638608379,-0.707627157,0.622249286,-1.046884462,2.046932847,0.424841221,-0.53724099,-0.388034326,0.177212183,-1.703384607,-1.093450051,3.795031646,0.961176207,-1.600269302,0.611214337,0.190479437
2037,-0.059809037,0.18671161,2.548505145,0.947417477,-0.222043748,1.140247821,1.524915988,-1.562231709,1.064365958,0.768573392,1.690483435,1.817236735,-1.175649427,-0.336026746,-1.003188184,-2.161609215
2038,1.285452291,-1.225682276,1.29123823,-0.680556913,1.90589398,0.586407846,-0.709564915,-0.167320581,-1.693818655,-0.908134151,-0.179449963,0.596890048,1.859242327,-1.41354005,0.368236526,-0.310926436
2039,-0.800489326,1.454105211,0.10055404,0.390774195,-0.351944054,-0.353139109,-0.775871641,0.631943979,1.723681264,0.555755631,1.90934877,0.424417312,-1.417325953,0.083809262,-1.45271799,0.262502204
2040,-1.847695901,-1.391839168,1.077014965,0.451229014,-0.776254546,1.028998485,-0.546804346,0.66964894,1.164009657,-1.147800976,-0.289923664,0.491939347,0.854519694,-0.221716732,-0.30108702,0.548267221
2041,1.297394592,-1.136422007,0.54894471,-0.529073473,0.591987465,-0.273729573,0.814938823,1.109743694,1.073625214,-0.652473677,-1.292622388,-0.813539943,-0.122618175,0.642402532,-1.010566336,-1.791317689
2042,0.25643932,-0.566787132,-0.679480801,-0.075117962,-0.433096717,0.601847557,1.282877522,-0.814713951,-1.426777377,-1.226515322,0.843794562,1.080419054,-0.078317527,-0.892897614,-0.413841715,-2.2272351
2043,-2.434500067,1.536538631,0.410797141,0.187932003,2.075314557,0.918248073,-0.494966497,0.367609189,0.094761868,-1.65018771,1.878728056,-1.061729875,-1.106486168,0.538776446,1.199442413,-0.973969666
2044,-0.967977671,1.253762693,-1.094891415,-1.637979417,0.872635311,-0.065361285,0.3096396,-1.045472356,-0.065018055,-0.627131561,3.569350433,2.003788027,0.094588346,-0.823142352,-1.908600266,1.590548482
2045,0.112045141,1.251326285,0.661057769,-0.60965654,0.09575001,-0.537036278,-0.706486673,0.951380331,-1.254347596,1.619555375,-0.061678977,1.012208567,0.098269029,0.692985011,-0.728553447,1.03862385
2046,-0.8309174,0.387518282,-0.03351857,-1.194159194,-0.132524714,-2.192702621,-1.941914796,-0.170172658,-1.558012869,1.452274136,3.298896094,1.338183992,0.545254267,0.508283143,-1.39205096,-0.36236343
2047,-0.669582706,1.673507507,0.993269714,0.76124842,0.723179644,-1.869511837,-0.600306505,1.208180793,-2.26511236,-0.513548819,0.259693019,-0.827830372,1.247408859,-0.925916289,-1.167546083,0.222697215
2048,-1.459268286,0.165954291,1.632146582,-0.283784794,1.262828653,1.155911192,1.817624959,1.196437427,3.069849338,-0.458811478,-1.588145079,0.280308317,-0.124382923,-1.588196524,-1.982307636,0.300334534
2049,0.198805845,-0.488353308,-0.222563365,-2.142419597,0.481129844,0.119133772,-0.452089759,-0.010452462,-0.638941344,-1.059148835,-0.733467061,-1.391562081,1.893219064,-0.348646532,-0.061636409,-0.593406267
2050,0.068112898,1.87786156,-1.689013082,3.601800512,-0.620307484,-0.647298401,-1.6234218,0.14308151,-1.546053525,1.721336548,-0.303828458,-0.005579825,0.687464761,-1.761063192,-1.686290136,-1.191607305
2051,-2.30467341,-0.62104134,-0.477924975,-0.344476669,0.347805422,-0.347563786,-1.658631294,-0.627003389,0.931171153,-1.780583622,-1.011802389,0.680346784,-0.660336542,-1.491166237,-2.41521872,-0.259396992
2052,-0.61704764,-1.016973157,-0.324723112,-1.302875121,0.094309682,-1.91176289,-0.511882338,0.305620114,1.082453082,0.334391946,-0.099741644,0.223416004,-1.553652233,-0.114299388,0.616868974,2.023821889
2053,-0.965361453,-0.82351753,0.965666732,0.427987323,-0.777895129,-0.810303378,0.037777182,-1.034031071,0.418057072,-0.827503785,1.967542963,1.229045088,0.573941259,-0.795342156,1.049482871,0.285007922
2054,1.212967403,-1.219414618,-1.220714674,-1.673336138,-0.712577797,-0.993225522,-0.259305767,0.398256406,-0.952840377,0.773192351,0.838493758,-0.972540742,0.765234039,-1.743957571,-0.67500963,-1.429549283
2055,-1.692798106,-0.049741316,3.125503298,-0.123030216,-0.314214608,0.828679092,0.374677545,-0.704081058,1.083833789,-1.617826784,0.865772175,-0.272563799,1.288625488,-1.154667034,0.436084176,0.200489541
2056,-1.860124353,0.524849996,0.34394769,1.286359839,0.689957879,-0.477791637,-1.521052246,0.018318115,0.011432611,-1.240271454,-0.492334462,1.27868098,-0.4694033,-0.489853526,-1.321131536,-0.371899566
2057,0.285874689,0.385280989,0.742240997,-0.360404661,-0.915497372,-2.135360503,-0.467616187,0.073156872,-0.194170699,0.289148699,0.34291297,2.812181826,-0.989059814,-0.176124008,-2.105351727,0.552202683
2058,0.241872701,-0.714892978,-1.242725557,1.695374668,-1.628036694,-1.937754825,-1.116478595,0.039646553,-0.593785456,-2.004814716,-1.450246349,0.017327144,1.504837817,-1.665761663,-0.902333206,-1.300532772
2059,0.266460283,-0.424610535,0.671941597,1.911862983,-1.760173009,-1.62878736,-1.763812132,0.566533878,0.082131939,1.471733981,-1.637401555,-0.871474719,-0.968710937,-0.988086252,-0.237929191,-0.799553438
2060,0.393897522,-1.540142946,0.188436331,-0.430243426,-1.381866706,1.874656289,0.316571581,-1.035031006,-2.008503757,-0.731313167,-0.29515262,0.438042064,-0.507674953,0.301830574,-1.721929083,0.088180433
2061,-0.893339325,1.801810722,0.259037691,2.102226411,1.704130452,-2.13979008,-1.503317773,0.62354752,4.145947158,-0.968889787,1.648584555,2.179319439,0.856054191,-0.278519835,1.153346133,-0.104191222
2062,-1.422877189,-1.992493638,0.263011083,0.165569715,1.343314168,-0.23573302,-3.204686943,0.989729279,1.371639803,-1.168003926,-0.549528227,0.111276048,1.767661565,0.29889507,-1.392964296,-1.718546922
2063,2.06503987,-0.430855693,-1.691546745,1.81011769,-0.478198897,-0.961300314,-0.980664465,1.054020132,-1.062035844,-0.116659925,-1.741242209,0.33021074,1.439856441,1.787462889,-0.034343935,-0.772645234
2064,0.703699334,0.046663082,-0.29998439,-0.463721281,0.729568948,0.241603185,-2.20946221,-0.149241342,-0.480633201,-0.458966267,-0.879043286,-1.72313143,0.375629903,0.927384252,-1.85494447,-0.79391727
2065,-1.594224573,-1.768837293,1.274016097,2.340991084,0.509629486,0.367795176,-0.462521782,-0.049888844,0.603011442,-0.645949808,1.38898218,-0.225856747,0.963475253,-1.829899863,-2.093915361,-1.824592057
2066,0.107768217,0.187911286,0.188040951,-0.142523854,2.309822188,-0.390276665,-0.028072621,0.117198985,0.352396309,-1.010814109,-0.403762007,0.075132928,0.430678018,-1.932374998,-0.066552526,-1.826068929
2067,-1.49130342,0.658933306,1.498635687,-0.929748588,1.029813594,1.901985309,-1.430000406,-0.512683931,0.762506142,-1.88733333,-1.176653186,0.465865171,1.743316604,0.195562867,-2.33225848,2.186447676
2068,-0.072282391,0.84300814,0.351965371,-0.567883848,0.318307703,-1.547742715,-0.713637405,-0.734588483,-0.28655136,0.229307094,0.078806016,1.859502716,0.376553992,-2.302491515,-0.2061406,-0.097320044
2069,1.407106016,1.004062391,1.371196259,1.975410424,-0.842566117,-1.265284084,-1.289119371,0.655241712,1.160065507,0.454863368,-1.257946977,1.692828803,0.804309753,-0.76237361,-0.44454827,0.162115799
2070,-0.5399852,-0.925273925,-0.411048332,1.468603956,2.139973352,-0.072759915,-1.861975988,-1.162979552,0.373610736,0.054859696,0.004503465,-0.27831499,2.090969389,-2.005569752,1.144566844,0.211395216
2071,-1.920514753,1.776430772,0.911040462,1.533334672,-0.878651809,1.171813983,0.466419393,-1.001687862,0.101532804,-0.324343072,0.703321317,1.051309395,0.259545682,-1.496900528,-3.203891999,-0.648295277
2072,0.988322985,-0.395373315,-0.0637691,-1.475163332,-0.308775003,-2.500868182,-0.071103233,-0.67094131,1.995413546,-1.213623816,0.192403341,-2.459619388,0.954460585,-1.368304647,-1.506822964,-1.030922252
2073,-0.327877662,-0.885277467,2.041798816,-0.926626073,0.465777772,0.077516924,-1.612711634,1.583636977,-0.178272259,-1.140288338,-1.289744928,0.135780022,-0.34375994,-1.362848928,-0.094246177,0.109977466
2074,-0.369324899,-1.269316234,0.795253812,-0.598443134,0.42714959,1.837418295,-2.870476712,1.796554838,1.592041073,0.783989279,-1.812284109,0.392510506,-0.452910991,-1.805602999,-1.697165386,1.78112116
2075,-0.702555022,0.223645956,0.437872559,1.778541817,0.661933002,0.6789861,-1.122559024,-0.217211402,0.786796003,1.477860535,0.016953654,0.972011408,1.441546949,-1.282236715,-1.648821892,-0.592257956
2076,1.549452274,-0.467687217,-0.546419913,-0.034551216,0.482198107,-0.15697281,0.361751968,-0.153273062,0.830964387,0.960357432,0.791728124,-0.566277005,-0.623592648,-0.999846245,-0.446334457,-1.696806253
2077,-0.999210457,0.179338722,1.44475074,-1.323257245,1.005642289,-0.782561162,-1.482556664,-0.529592667,0.812498809,-1.193713695,-1.960657967,-1.350722514,1.744895883,-0.128164407,0.954921667,0.284436408
2078,-0.83096972,-1.104195681,0.806861603,-1.640619081,1.798596239,-0.22692625,0.735799679,0.023339403,0.21974073,-0.134673879,-0.134498114,1.000583176,0.686148092,-1.612907351,-1.186743709,-0.401757445
2079,1.841006924,-1.92967617,0.143204421,-1.682566476,-1.286876587,1.721940012,-2.466876348,-1.271313352,-0.126061592,-1.844466842,-0.165826992,0.747187697,2.148316183,-0.913597038,-2.858968874,-0.196471254
2080,0.470416745,1.884804023,0.565795416,-1.32905147,-0.668771392,-1.140839041,-1.390926519,-0.237157797,3.380047726,-0.827534458,0.593597513,0.437566657,0.98455652,-1.198392774,-0.414273126,0.345018111
2081,0.201060232,-1.399443905,-0.079157244,-0.112416582,-0.175114923,1.128237201,0.137050915,0.030072967,1.96537965,0.587569241,0.532191632,1.186062053,0.326914983,1.912641643,-0.287416631,-0.338845738
2082,1.076903124,-0.339701702,-0.896751561,-0.975805162,-2.618380207,1.394884258,-2.36853733,1.163920098,0.021287912,-1.408576398,0.942660191,1.233927921,-0.048577427,1.813995309,-1.47988915,-1.052261319
2083,-0.058189343,0.110248591,-0.419479485,1.120279863,-0.10329888,0.505393919,-1.119287993,-1.122953976,-2.89092661,-1.679686882,2.23617749,1.574887047,0.860747239,-0.190970397,-0.54747048,0.46656736
2084,-0.369572678,0.227983843,0.113179279,-0.310500051,-2.12787813,-0.434157215,-0.223059006,-0.037217626,-1.264177808,-1.466722845,-0.29706203,1.126277351,-0.540125304,0.514376475,-0.072660828,-1.29284671
2085,-0.960143383,0.996447825,-0.794414659,-0.82497765,-0.660911813,1.778942458,0.373877626,0.433791784,0.305205406,-1.613705526,0.366474156,-0.618155158,-0.549010571,-1.355633137,0.899725808,0.643006282
2086,0.068692898,1.650661882,0.083579528,-0.51327693,-1.120904671,-0.990172514,1.302923246,1.014326914,-1.666112977,4.230824072,1.074052366,0.784889992,2.690540977,0.059617513,0.439997948,-0.533524891
2087,-0.199747239,-3.080694598,-0.554940624,1.232084041,0.2172001,-1.163864983,-1.644165372,0.282562885,1.14994422,-0.515488269,-0.232228229,-0.049880875,-0.324783614,0.105547718,2.085276959,0.375199832
2088,1.400558473,1.881968988,2.918459773,-0.045261424,-2.07449372,0.068647526,-1.354257365,0.163877252,-0.692048193,-1.185816867,-0.144880864,0.238731828,1.157068151,-0.081593405,-0.249844523,-1.415995377
2089,-0.232601562,0.642561039,0.964773715,-0.566231631,-2.215766398,1.339630205,-1.085683364,-1.154830144,0.137852697,-0.218933437,-0.33183377,0.407387552,0.026921584,-1.592624942,-0.999377343,0.917428152
2090,0.496780161,-0.792316721,-2.175853718,-0.615394119,1.292496804,-0.05858258,0.04990778,1.289675296,1.210473904,-2.367746252,1.302268257,0.249812684,0.75903677,-0.351572256,-1.010440473,-0.149044755
2091,-1.981437825,-0.08301939,1.72851902,0.696529396,-1.091002265,-0.258730763,-2.299325432,0.69102733,-0.50380737,-1.8738294,0.026921247,0.554087123,-0.992522292,-0.368086291,-0.864803039,-0.973812159
2092,-0.062671691,1.805387789,1.45569186,-1.131933669,-1.690302749,1.291782297,-1.260591351,0.171556118,-0.69914957,-3.288073291,0.59434911,-0.859761447,0.839316762,-1.966931053,2.477210695,0.704562013
2093,-0.624844536,0.304402242,0.162836007,-1.35648695,1.150944084,-0.901923153,2.047389175,0.122594024,-1.585804455,0.521358002,2.54741378,-0.968034516,0.917748623,-0.617950415,-1.699088485,0.263570542
2094,0.438539931,-0.643170515,2.486233148,1.825483241,-0.943417784,0.759260975,-0.169028239,0.106784195,1.172009111,3.216133558,-0.16875366,0.497987647,2.714373987,-1.573075565,-1.684584366,0.694731061
2095,0.513079464,2.385926583,-0.63523483,-1.194064722,1.171496757,0.60030823,-0.963112422,-0.434212105,-0.726360223,-1.275697814,0.249686635,-0.575513968,-0.430956583,-0.71320811,-1.398684791,-0.219122594
2096,-0.523258535,-0.222205674,1.655021,2.26789334,1.323304379,-0.01893483,-1.439922568,1.749815244,-2.840557621,-0.51042301,0.738514222,0.883884909,-1.234699583,1.630734576,0.431471133,-1.174149694
2097,0.613384216,1.315963044,-0.514258946,-0.927189789,-1.481461634,0.020786524,0.271282407,-0.017439949,0.956461802,0.617657547,1.155791846,0.379756971,3.008620421,-0.768478041,0.185401643,-1.143825984
2098,1.896553889,0.730556185,-0.605762863,1.130260296,0.494878603,1.292127667,-0.336277918,-0.708402473,0.247638905,1.286795812,-0.373799357,1.590925033,0.057273706,-1.22893072,-1.929070738,0.32686848
2099,0.941578989,-1.621880941,-0.138460737,-0.204259191,-0.854689195,0.313457319,-0.82965438,0.747171333,0.717128694,-1.551280335,-0.516534373,-0.24862309,-1.930214725,0.088723613,-0.782379984,-0.221182119
