years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
1911,-0.724582077,0.995634426,1.028328593,-0.591262834,-1.022831827,0.842641517,-1.160666826,-1.595898002,-1.34402612,1.351521854,-0.402549724,-1.10171007,-0.370663037,-0.540454022,-0.195455297,0.870626605
1912,0.196723486,-0.685365842,0.165002582,0.851274928,-0.025058886,0.444031415,0.680458672,-0.033239842,0.26196915,1.023735602,-0.901118338,0.372359166,0.295229168,-0.839498775,2.237400914,-0.861891938
1913,-0.202207671,0.322955435,-1.253285568,-0.425245075,-0.081694217,-1.333771339,0.145359794,0.617261724,0.510567649,0.266161062,-2.190077493,1.287791968,1.232684194,-1.516576277,0.925970865,0.531374343
1914,0.545093742,0.871757976,-0.610665535,-0.094332399,-1.287619348,1.400122673,-0.468887359,-1.78012849,-0.343771172,0.316052871,0.220333935,1.592515665,0.261330491,1.225736343,0.543750664,-0.066845118
1915,0.66695413,-1.346347755,0.614662943,1.227172561,-0.353904426,-0.930631901,0.749366198,1.047848006,-0.222179736,0.163218369,-0.052699953,0.994799214,-0.658466368,0.907536699,1.946882685,-0.49922308
1916,0.352409262,-0.525743902,1.441437179,0.215224965,1.024144914,0.257856882,-1.84957015,-0.0371677,-1.47639155,0.109755833,-0.491600752,0.036882904,0.414645518,-0.138263717,-0.30879516,0.51137006
1917,-0.797080824,0.627148796,0.306257504,0.014386136,0.423527646,1.489153998,-0.114569148,0.21457429,0.610116192,1.068232255,-0.758229296,1.189106243,-0.852256286,1.020429205,-0.226920298,1.255684975
1918,-0.795385587,-0.722871207,-0.948473651,1.596915423,0.017616667,0.086800858,-0.170947166,0.792347259,0.68112585,-0.419782066,0.467732804,-0.090575322,0.317147207,-0.038872648,0.198259065,0.902805575
1919,-0.688176714,0.52065728,-1.314993346,-1.430629886,0.117055662,0.585018951,1.161773972,-0.920794185,1.054033291,1.0394444,0.721379056,0.035348551,0.780795637,-0.543850811,0.449521933,1.0281256
1920,-1.301584424,-0.531814949,-1.046385343,1.373019567,0.598756573,1.357760551,2.146069374,-0.84191578,-0.936431028,-0.278371404,-0.590448786,0.513900387,0.166933815,-0.265169641,-0.140401277,-0.929450932
1921,0.028461896,0.615431647,1.085485933,0.262662962,-2.165664448,-0.681073348,-0.29420183,0.957641964,0.389467909,0.538411466,-0.602569124,0.435544028,-0.300972187,-1.290613174,-0.540226487,-0.233651218
1922,1.880957148,-0.049897324,0.32843675,-0.822754993,-2.704050901,-0.33599603,-1.157502661,1.204624019,0.292647741,0.091165126,-1.210747846,-0.922700597,-0.042363934,-0.355221584,0.387750716,-1.083952223
1923,-0.74511459,0.911098079,0.637526173,-0.960790818,1.419789213,-0.334171609,-1.397636706,-2.175910499,0.857739549,-1.95155935,0.724323355,1.122684647,0.922173422,-0.261113779,-1.537126873,-2.706125155
